Issue-ID,Beschreibung,Status,Schweregrad,Story Points,Projektpfad,Art des Speicherorts,Pfad,Linie,Spalte,Incident-ID,Hilfelink,Assemblyname,Assemblyversion,Öffentlicher Schlüssel für Assembly.,Ausschnitt
NuGet.0002,Ein NuGet-Paketupgrade wird empfohlen,Active,Potential,1,OVMS.csproj,File,OVMS.csproj,,,Newtonsoft.Json 13.0.1,,,,,"Newtonsoft.Json, 13.0.1  Empfehlung:  Remove Newtonsoft.Json, and replace with new package Newtonsoft.Json 13.0.4"
NuGet.0003,Die Funktionalität des NuGet-Pakets ist im Frameworkverweis enthalten,Active,Mandatory,1,OVMS.csproj,File,OVMS.csproj,,,System.Buffers 4.5.1,,,,,"System.Buffers, 4.5.1  Empfehlung:  Im neuen Frameworkverweis enthaltene Paketfunktionalität"
NuGet.0002,Ein NuGet-Paketupgrade wird empfohlen,Active,Potential,1,OVMS.csproj,File,OVMS.csproj,,,System.Collections.Immutable 1.7.1,,,,,"System.Collections.Immutable, 1.7.1  Empfehlung:  Remove System.Collections.Immutable, and replace with new package System.Collections.Immutable 10.0.3"
NuGet.0003,Die Funktionalität des NuGet-Pakets ist im Frameworkverweis enthalten,Active,Mandatory,1,OVMS.csproj,File,OVMS.csproj,,,System.Memory 4.5.4,,,,,"System.Memory, 4.5.4  Empfehlung:  Im neuen Frameworkverweis enthaltene Paketfunktionalität"
NuGet.0002,Ein NuGet-Paketupgrade wird empfohlen,Active,Potential,1,OVMS.csproj,File,OVMS.csproj,,,System.Reflection.Metadata 1.8.1,,,,,"System.Reflection.Metadata, 1.8.1  Empfehlung:  Remove System.Reflection.Metadata, and replace with new package System.Reflection.Metadata 10.0.3"
NuGet.0002,Ein NuGet-Paketupgrade wird empfohlen,Active,Potential,1,OVMS.csproj,File,OVMS.csproj,,,System.Runtime.CompilerServices.Unsafe 5.0.0,,,,,"System.Runtime.CompilerServices.Unsafe, 5.0.0  Empfehlung:  Remove System.Runtime.CompilerServices.Unsafe, and replace with new package System.Runtime.CompilerServices.Unsafe 6.1.2"
NuGet.0003,Die Funktionalität des NuGet-Pakets ist im Frameworkverweis enthalten,Active,Mandatory,1,OVMS.csproj,File,OVMS.csproj,,,System.Threading.Tasks.Extensions 4.5.4,,,,,"System.Threading.Tasks.Extensions, 4.5.4  Empfehlung:  Im neuen Frameworkverweis enthaltene Paketfunktionalität"
NuGet.0004,Das NuGet-Paket enthält Sicherheitsrisiken,Active,Optional,1,OVMS.csproj,File,OVMS.csproj,,,BouncyCastle 1.8.5,,,,,"BouncyCastle, 1.8.5  Empfehlung:  BouncyCastle, 1.8.9"
NuGet.0005,Das NuGet-Paket ist veraltet,Active,Optional,1,OVMS.csproj,File,OVMS.csproj,,,System.Runtime.CompilerServices.Unsafe 5.0.0,,,,,"System.Runtime.CompilerServices.Unsafe, 5.0.0  Empfehlung:  This package has been deprecated as part of the .NET Package Deprecation effort. You can learn more about it from https://github.com/dotnet/announcements/issues/217 Remove System.Runtime.CompilerServices.Unsafe, and replace with new package System.Runtime.CompilerServices.Unsafe, 6.1.2"
Project.0001,Die Projektdatei muss in den SDK-Stil konvertiert werden.,Active,Mandatory,1,OVMS.csproj,File,OVMS.csproj,,,,,,,,
Project.0002,Die Zielframeworks des Projekts müssen geändert werden,Active,Mandatory,1,OVMS.csproj,File,OVMS.csproj,,,,,,,,"Aktuelles Zielframework: .NETFramework,Version=v4.8 Empfohlenes Zielframework: net10.0"
Api.0003,Verhaltensänderung bei ausgewählter .NET-Version,Active,Potential,1,OVMS.csproj,File,WebHelper.cs,672,20,T:System.Uri,,,,,resultContent = await webClient.DownloadStringTaskAsync(new Uri(url));
Api.0003,Verhaltensänderung bei ausgewählter .NET-Version,Active,Potential,1,OVMS.csproj,File,WebHelper.cs,672,20,M:System.Uri.#ctor(System.String),,,,,resultContent = await webClient.DownloadStringTaskAsync(new Uri(url));
Api.0002,Die Quelle ist mit der ausgewählten .NET-Version inkompatibel.,Active,Potential,1,OVMS.csproj,File,WebHelper.cs,651,16,M:System.Net.WebClient.#ctor,,,,,"using (WebClient webClient = new WebClient())                  {                        webClient.Headers.Add(""User-Agent: TL 1.1"");                      webClient.Encoding = Encoding.UTF8;                        url = ""http://nominatim.openstreetmap.org/reverse"";                        url += ""?format=jsonv2&lat="";                      url += latitude.ToString();                      url += ""&lon="";                      url += longitude.ToString();                                             url += ""&email=mail"";                      url += ""@"";                      url += ""teslalogger"";                      url += "".de"";                                              DateTime start = DateTime.UtcNow;                      resultContent = await webClient.DownloadStringTaskAsync(new Uri(url));                      DBHelper.AddMothershipDataToDB(""ReverseGeocoding"", start, 0);                        dynamic jsonResult = JsonConvert.DeserializeObject(resultContent);                      object r1 = ((Dictionary<string, object>)jsonResult)[""address""];                      Dictionary<string, object> r2 = (Dictionary<string, object>)r1;                      string postcode = """";                      if (r2.ContainsKey(""postcode""))                      {                          postcode = r2[""postcode""].ToString();                      }                        string country_code = r2[""country_code""].ToString();                        string road = """";                      if (r2.ContainsKey(""road""))                      {                          road = r2[""road""].ToString();                      }                        string city = """";                      if (r2.ContainsKey(""city""))                      {                          city = r2[""city""].ToString();                      }                      else if (r2.ContainsKey(""town""))                      {                          city = r2[""town""].ToString();                      }                      else if (r2.ContainsKey(""village""))                      {                          city = r2[""village""].ToString();                      }                        string house_number = """";                      if (r2.ContainsKey(""house_number""))                      {                          house_number = r2[""house_number""].ToString();                      }                        string name = """";                      if (r2.ContainsKey(""name"") && r2[""name""] != null)                      {                          name = r2[""name""].ToString();                      }                        string address29 = """";                      if (r2.ContainsKey(""address29"") && r2[""address29""] != null)                      {                          address29 = r2[""address29""].ToString();                      }                        string adresse = """";                        if (address29.Length > 0)                      {                          adresse += address29 + "", "";                      }                        if (country_code != ""de"")                      {                          adresse += country_code + ""-"";                      }                        adresse += postcode + "" "" + city + "", "" + road + "" "" + house_number;                        if (name.Length > 0)                      {                          adresse += "" / "" + name;                      }                        System.Diagnostics.Debug.WriteLine(url + ""\r\n"" + adresse);                        if (insertGeocodecache)                      {                          GeocodeCache.Instance.Insert(latitude, longitude, adresse);                      }                          NominatimCount++;                      Logfile.Log(""Reverse geocoding by Nominatim"" + NominatimCount);                                              return adresse;                  }"
Api.0003,Verhaltensänderung bei ausgewählter .NET-Version,Active,Potential,1,OVMS.csproj,File,WebHelper.cs,384,12,T:System.Net.Http.HttpContent,,,,,var resultContent = ret.Content.ReadAsStringAsync().Result;
Api.0003,Verhaltensänderung bei ausgewählter .NET-Version,Active,Potential,1,OVMS.csproj,File,WebHelper.cs,181,20,T:System.Uri,,,,,"httpClientForAuthentification.BaseAddress = new Uri(""https://ovms.dexters-web.de:6869"");"
Api.0003,Verhaltensänderung bei ausgewählter .NET-Version,Active,Potential,1,OVMS.csproj,File,WebHelper.cs,181,20,M:System.Uri.#ctor(System.String),,,,,"httpClientForAuthentification.BaseAddress = new Uri(""https://ovms.dexters-web.de:6869"");"
Api.0003,Verhaltensänderung bei ausgewählter .NET-Version,Active,Potential,1,OVMS.csproj,File,WebHelper.cs,181,20,T:System.Uri,,,,,"httpClientForAuthentification.BaseAddress = new Uri(""https://ovms.dexters-web.de:6869"");"
Api.0002,Die Quelle ist mit der ausgewählten .NET-Version inkompatibel.,Active,Potential,1,OVMS.csproj,File,WebHelper.cs,175,20,M:System.TimeSpan.FromSeconds(System.Double),,,,,httpClientForAuthentification.Timeout = TimeSpan.FromSeconds(30);
Api.0003,Verhaltensänderung bei ausgewählter .NET-Version,Active,Potential,1,OVMS.csproj,File,WebHelper.cs,118,16,T:System.Net.Http.HttpContent,,,,,var json = r.Content.ReadAsStringAsync().Result;
Api.0003,Verhaltensänderung bei ausgewählter .NET-Version,Active,Potential,1,OVMS.csproj,File,WebHelper.cs,87,16,T:System.Net.Http.HttpContent,,,,,var json = r2.Content.ReadAsStringAsync().Result;
Api.0003,Verhaltensänderung bei ausgewählter .NET-Version,Active,Potential,1,OVMS.csproj,File,WebHelper.cs,68,16,T:System.Net.Http.HttpContent,,,,,var resultContent = result.Content.ReadAsStringAsync().Result;
Api.0002,Die Quelle ist mit der ausgewählten .NET-Version inkompatibel.,Active,Potential,1,OVMS.csproj,File,WebHelper.cs,49,12,F:System.Net.SecurityProtocolType.Ssl3,,,,,ServicePointManager.SecurityProtocol = SecurityProtocolType.Ssl3 | SecurityProtocolType.Tls | SecurityProtocolType.Tls11 | SecurityProtocolType.Tls12;
Api.0002,Die Quelle ist mit der ausgewählten .NET-Version inkompatibel.,Active,Potential,1,OVMS.csproj,File,WebHelper.cs,49,12,T:System.Net.ServicePointManager,,,,,ServicePointManager.SecurityProtocol = SecurityProtocolType.Ssl3 | SecurityProtocolType.Tls | SecurityProtocolType.Tls11 | SecurityProtocolType.Tls12;
Api.0002,Die Quelle ist mit der ausgewählten .NET-Version inkompatibel.,Active,Potential,1,OVMS.csproj,File,WebHelper.cs,47,12,T:System.Net.ServicePointManager,,,,,"ServicePointManager.ServerCertificateValidationCallback += (p1, p2, p3, p4) => true;"
Api.0002,Die Quelle ist mit der ausgewählten .NET-Version inkompatibel.,Active,Potential,1,OVMS.csproj,File,WebHelper.cs,49,12,F:System.Net.SecurityProtocolType.Ssl3,,,,,ServicePointManager.SecurityProtocol = SecurityProtocolType.Ssl3 | SecurityProtocolType.Tls | SecurityProtocolType.Tls11 | SecurityProtocolType.Tls12;
Api.0002,Die Quelle ist mit der ausgewählten .NET-Version inkompatibel.,Active,Potential,1,OVMS.csproj,File,WebHelper.cs,49,12,T:System.Net.ServicePointManager,,,,,ServicePointManager.SecurityProtocol = SecurityProtocolType.Ssl3 | SecurityProtocolType.Tls | SecurityProtocolType.Tls11 | SecurityProtocolType.Tls12;
Api.0002,Die Quelle ist mit der ausgewählten .NET-Version inkompatibel.,Active,Potential,1,OVMS.csproj,File,WebHelper.cs,47,12,T:System.Net.ServicePointManager,,,,,"ServicePointManager.ServerCertificateValidationCallback += (p1, p2, p3, p4) => true;"
